Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Riley Dixon,3,3.0,1,1,100.0,0,0,79.2,0,0.0,0,0,3,0,0
Taysom Hill,3,1.5,2,1,50.0,0,0,56.2,0,0.0,0,0,3,0,0
David Montgomery,3,3.0,1,1,100.0,1,0,118.8,1,100.0,0,0,3,0,0
Josh Johnson,1,1.0,1,1,100.0,0,0,79.2,0,0.0,0,0,1,0,0
Bryan Anger,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Tutu Atwell,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Ty Chandler,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,1,1
Johnny Hekker,0,0.0,2,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Joe Mixon,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Darnell Mooney,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Malik Nabers,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Kenny Pickett,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,1,8
Bradley Pinion,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
Deebo Samuel Sr.,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,1,4
