Player,Team,Comb,Asst,Solo,Sck
Donovan Wilson,Dallas Cowboys,43,23,17,1.0
Ji'Ayir Brown,San Francisco 49ers,42,13,25,0.0
Quandre Diggs,Tennessee Titans,42,7,29,0.0
Xavier McKinney,Green Bay Packers,42,16,22,1.0
Keisean Nixon,Green Bay Packers,42,12,26,2.0
Tykee Smith,Tampa Bay Buccaneers,42,12,27,0.0
Brandon Stephens,Baltimore Ravens,42,6,35,0.0
Tyrique Stevenson,Chicago Bears,42,14,25,0.0
Benjamin St-Juste,Washington Commanders,42,8,31,0.0
Andre Cisco,Jacksonville Jaguars,41,16,25,0.0
Kenny Moore II,Indianapolis Colts,41,15,20,0.5
Azeez Al-Shaair,Houston Texans,40,12,21,1.0
Terrel Bernard,Buffalo Bills,40,11,21,0.0
Brian Branch,Detroit Lions,40,8,29,0.0
Jaquan Brisker,Chicago Bears,40,17,20,1.0
Blake Cashman,Minnesota Vikings,40,20,15,1.0
Christian Gonzalez,New England Patriots,40,7,29,0.0
Amani Hooker,Tennessee Titans,40,13,25,0.0
Christian Izien,Tampa Bay Buccaneers,40,12,24,0.0
Ja'Quan McMillian,Denver Broncos,40,8,28,1.0
Jordan Poyer,Miami Dolphins,40,17,22,0.0
Justin Strnad,Denver Broncos,40,11,21,3.0
Antoine Winfield Jr.,Tampa Bay Buccaneers,40,20,19,1.0
Bryan Cook,Kansas City Chiefs,39,8,30,0.0
Byron Murphy,Minnesota Vikings,39,6,28,0.0
Foye Oluokun,Jacksonville Jaguars,39,15,19,1.0
Andru Phillips,New York Giants,39,16,18,1.0
Payton Wilson,Pittsburgh Steelers,39,16,19,0.0
Devin Bush,Cleveland Browns,38,14,15,1.0
Alohi Gilman,Los Angeles Chargers,38,14,17,1.0
Rayshawn Jenkins,Seattle Seahawks,38,12,25,0.0
David Long,Indianapolis Colts,38,12,18,0.0
Isaiah Pola-Mao,Las Vegas Raiders,38,13,24,1.0
A'Shawn Robinson,Carolina Panthers,38,16,17,2.0
Pete Werner,New Orleans Saints,38,13,23,0.0
Keion White,New England Patriots,38,16,19,4.0
Jerome Baker,Seattle Seahawks,37,16,18,1.0
Zaven Collins,Arizona Cardinals,37,15,19,3.0
Christian Elliss,New England Patriots,37,19,17,1.5
P.J. Locke,Denver Broncos,37,11,20,1.0
Brian Burns,New York Giants,36,14,20,5.0
Ronald Darby,Jacksonville Jaguars,36,7,28,0.0
Rasul Douglas,Buffalo Bills,36,9,23,0.0
Jaycee Horn,Carolina Panthers,36,9,23,0.0
Jordan Howden,New Orleans Saints,36,20,13,0.0
Sam Hubbard,Cincinnati Bengals,36,13,21,2.0
Nate Landman,Atlanta Falcons,36,17,18,0.0
Harold Landry,Tennessee Titans,36,18,16,5.0
Grover Stewart,Indianapolis Colts,36,20,11,2.5
Zach Allen,Denver Broncos,35,13,16,4.0
Christian Benford,Buffalo Bills,35,7,26,0.0
Chamarri Conner,Kansas City Chiefs,35,10,22,1.0
Jonathon Cooper,Denver Broncos,35,16,16,5.5
Kyle Dugger,New England Patriots,35,9,23,1.0
Cordale Flott,New York Giants,35,11,22,0.0
Shaq Thompson,Carolina Panthers,35,16,18,0.0
Tyrann Mathieu,New Orleans Saints,35,8,26,0.0
Andrew Van Ginkel,Minnesota Vikings,35,9,21,5.0
Charvarius Ward,San Francisco 49ers,35,9,20,0.0
Deonte Banks,New York Giants,34,9,22,0.0
