Player,Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Derius Davis,Los Angeles Chargers,21.2,4,85,0,2,0,35,0,0
Treylon Burks,Tennessee Titans,21.0,1,21,0,1,0,21,0,0
Cody Thompson,Tampa Bay Buccaneers,21.0,1,21,0,1,0,21,0,0
Mason Tipton,New Orleans Saints,21.0,1,21,0,1,0,21,0,0
Tyrone Tracy Jr.,New York Giants,20.3,3,61,0,2,0,28,0,1
Devin Duvernay,Jacksonville Jaguars,20.0,5,100,0,3,0,27,0,0
Myles Gaskin,Minnesota Vikings,20.0,3,60,0,1,0,26,0,0
Xavier Smith,Los Angeles Rams,20.0,1,20,0,1,0,20,0,0
Jordan Whittington,Los Angeles Rams,20.0,1,20,0,1,0,20,0,0
Jaylen Warren,Pittsburgh Steelers,19.5,2,39,0,1,0,26,0,0
Trayveon Williams,Cincinnati Bengals,19.4,5,97,0,3,0,23,0,0
Jordan Mims,New Orleans Saints,19.0,1,19,0,0,0,19,0,0
Gary Brightwell,Cleveland Browns,18.0,2,36,0,1,0,24,0,0
Javon Baker,New England Patriots,17.0,1,17,0,0,0,17,0,0
Trey Palmer,Tampa Bay Buccaneers,14.0,1,14,0,0,0,14,0,0
Miles Sanders,Carolina Panthers,14.0,1,14,0,0,0,14,0,0
Montrell Washington,Kansas City Chiefs,14.0,1,14,0,0,0,14,0,0
Minkah Fitzpatrick,Pittsburgh Steelers,7.0,1,7,0,0,0,7,0,0
Velus Jones Jr.,Chicago Bears,0.0,1,0,0,0,0,0,0,1
