Player,Team,FF,FR,FR TD
DeMarvion Overshown,Dallas Cowboys,1,0,0
Odafe Oweh,Baltimore Ravens,1,0,0
Jeremiah Owusu-Koramoah,Cleveland Browns,1,0,0
Owen Pappoe,Arizona Cardinals,1,0,0
Jayden Peevy,Carolina Panthers,1,0,0
Mike Pennel,Kansas City Chiefs,1,0,0
Andru Phillips,New York Giants,1,0,0
Harrison Phillips,Minnesota Vikings,1,0,0
James Pierre,Pittsburgh Steelers,1,0,0
Jeremy Reaves,Washington Commanders,1,0,0
Jalen Reeves-Maybin,Detroit Lions,1,0,0
Rashee Rice,Kansas City Chiefs,1,0,0
Elandon Roberts,Pittsburgh Steelers,1,0,0
Greg Rousseau,Buffalo Bills,1,0,0
Noah Sewell,Chicago Bears,1,0,0
Jeffery Simmons,Tennessee Titans,1,1,0
Darius Slay,Philadelphia Eagles,1,0,0
Roquan Smith,Baltimore Ravens,1,0,0
Dawuane Smoot,Buffalo Bills,1,0,0
Javon Solomon,Buffalo Bills,1,0,0
Reddy Steward,Chicago Bears,1,0,0
Grover Stewart,Indianapolis Colts,1,1,0
Dante Stills,Arizona Cardinals,1,0,0
Benjamin St-Juste,Washington Commanders,1,0,0
Montez Sweat,Chicago Bears,1,0,0
Darrell Taylor,Chicago Bears,1,0,0
Juanyeh Thomas,Dallas Cowboys,1,0,0
Solomon Thomas,New York Jets,1,0,0
Starling Thomas V,Arizona Cardinals,1,0,0
Joe Tryon-Shoyinka,Tampa Bay Buccaneers,1,0,0
Tuli Tuipulotu,Los Angeles Chargers,1,0,0
Kobie Turner,Los Angeles Rams,1,0,0
Payton Turner,New Orleans Saints,1,0,0
Shy Tuttle,Carolina Panthers,1,2,0
Sione Vaki,Detroit Lions,1,0,0
Andrew Van Ginkel,Minnesota Vikings,1,0,0
Kyle Van Noy,Baltimore Ravens,1,0,0
Jared Verse,Los Angeles Rams,1,0,0
Bobby Wagner,Washington Commanders,1,1,0
Travon Walker,Jacksonville Jaguars,1,1,1
K'Von Wallace,Seattle Seahawks,1,0,0
Tershawn Wharton,Kansas City Chiefs,1,0,0
Nate Wiggins,Baltimore Ravens,1,0,0
Dorian Williams,Buffalo Bills,1,2,0
Evan Williams,Green Bay Packers,1,0,0
Quincy Williams,New York Jets,1,2,0
Eric Wilson,Green Bay Packers,1,0,0
Logan Wilson,Cincinnati Bengals,1,2,0
Devon Witherspoon,Seattle Seahawks,1,0,0
Isaac Yiadom,San Francisco 49ers,1,1,0
Byron Young,Los Angeles Rams,1,0,0
Ameer Abdullah,Las Vegas Raiders,0,0,0
Yasir Abdullah,Jacksonville Jaguars,0,0,0
Micah Abernathy,Atlanta Falcons,0,0,0
Johnathan Abram,New Orleans Saints,0,0,0
Davante Adams,Las Vegas Raiders,0,0,0
Jamal Adams,Tennessee Titans,0,0,0
Matthew Adams,New York Giants,0,0,0
Montravius Adams,Pittsburgh Steelers,0,0,0
Myles Adams,Seattle Seahawks,0,0,0
Tony Adams,New York Jets,0,0,0
Jordan Addison,Minnesota Vikings,0,0,0
Adetomiwa Adebawore,Indianapolis Colts,0,0,0
Paulson Adebo,New Orleans Saints,0,0,0
Nate Adkins,Denver Broncos,0,0,0
Cal Adomitis,Cincinnati Bengals,0,0,0
Cam Akers,Minnesota Vikings,0,0,0
Jordan Akins,Cleveland Browns,0,0,0
Jaire Alexander,Green Bay Packers,0,1,0
Davis Allen,Los Angeles Rams,0,0,0
Jonathan Allen,Washington Commanders,0,0,0
Josh Hines-Allen,Jacksonville Jaguars,0,1,0
Josh Allen,Buffalo Bills,0,0,0
Zach Allen,Denver Broncos,0,0,0
Tyler Allgeier,Atlanta Falcons,0,0,0
Ugo Amadi,New Orleans Saints,0,0,0
Troy Andersen,Atlanta Falcons,0,0,0
Robbie Chosen,Miami Dolphins,0,0,0
Tycen Anderson,Cincinnati Bengals,0,0,0
Zayne Anderson,Green Bay Packers,0,0,0
Will Anderson Jr.,Houston Texans,0,1,0
Joe Andreessen,Buffalo Bills,0,0,0
Eli Ankou,Buffalo Bills,0,0,0
Daijahn Anthony,Cincinnati Bengals,0,0,0
Alex Anzalone,Detroit Lions,0,0,0
Eli Apple,Los Angeles Chargers,0,0,0
Jalyn Armour-Davis,Baltimore Ravens,0,0,0
Arik Armstead,Jacksonville Jaguars,0,0,0
Terrion Arnold,Detroit Lions,0,0,0
Brian Asamoah,Minnesota Vikings,0,0,0
Tutu Atwell,Los Angeles Rams,0,0,0
Denico Autry,Houston Texans,0,0,0
Tre Avery,Tennessee Titans,0,0,0
Chidobe Awuzie,Tennessee Titans,0,0,0
Joe Bachie,Cincinnati Bengals,0,0,0
Alex Bachman,Las Vegas Raiders,0,0,0
Jake Bailey,Miami Dolphins,0,0,0
Levelle Bailey,Denver Broncos,0,0,0
Budda Baker,Arizona Cardinals,0,0,0
Darrell Baker Jr.,Tennessee Titans,0,0,0
Corey Ballentine,Green Bay Packers,0,0,0
Aaron Banks,San Francisco 49ers,0,0,0
AJ Barner,Seattle Seahawks,0,0,0
Derrick Barnes,Detroit Lions,0,0,0
Krys Barnes,Arizona Cardinals,0,0,0
Jackson Barton,Arizona Cardinals,0,0,0
Carlos Basham,New York Giants,0,0,0
Rashod Bateman,Baltimore Ravens,0,0,0
Jake Bates,Detroit Lions,0,0,0
John Bates,Washington Commanders,0,0,0
Jordan Battle,Cincinnati Bengals,0,0,0
Robert Beal Jr.,San Francisco 49ers,0,0,0
D'Anthony Bell,Cleveland Browns,0,0,0
Markquese Bell,Dallas Cowboys,0,0,0
Quinton Bell,Miami Dolphins,0,0,0
Vonn Bell,Cincinnati Bengals,0,0,0
Daniel Bellinger,New York Giants,0,0,0
Nick Bellore,Washington Commanders,0,0,0
Dane Belton,New York Giants,0,0,0
Christian Benford,Buffalo Bills,0,0,0
Jakorian Bennett,Las Vegas Raiders,0,0,0
Trey Benson,Arizona Cardinals,0,0,0
Ja'Whaun Bentley,New England Patriots,0,0,0
Keeanu Benton,Pittsburgh Steelers,0,1,0
Terrel Bernard,Buffalo Bills,0,1,0
Jarrick Bernard-Converse,New York Jets,0,0,0
Braxton Berrios,Miami Dolphins,0,0,0
JD Bertrand,Atlanta Falcons,0,0,0
Tatum Bethune,San Francisco 49ers,0,1,0
Cole Bishop,Buffalo Bills,0,0,0
Beanie Bishop Jr.,Pittsburgh Steelers,0,0,0
Julian Blackmon,Indianapolis Colts,0,1,0
Raheem Blackshear,Carolina Panthers,0,0,0
Angelo Blackson,Arizona Cardinals,0,0,0
Josh Blackwell,Chicago Bears,0,0,0
Marquise Blair,Seattle Seahawks,0,0,0
Reed Blankenship,Philadelphia Eagles,0,0,0
Khari Blasingame,Chicago Bears,0,0,0
Joey Blount,Arizona Cardinals,0,0,0
Chris Board,Baltimore Ravens,0,0,0
Jacob Bobenmoyer,Las Vegas Raiders,0,0,0
Jake Bobo,Seattle Seahawks,0,0,0
Isaiah Bolden,New England Patriots,0,1,0
Nick Bolton,Kansas City Chiefs,0,0,0
Nik Bonitto,Denver Broncos,0,0,0
Austin Booker,Chicago Bears,0,0,0
Thomas Booker,Philadelphia Eagles,0,0,0
Andrew Booth,Dallas Cowboys,0,0,0
Dicaprio Bootle,Los Angeles Chargers,0,0,0
Brock Bowers,Las Vegas Raiders,0,0,0
Tyus Bowser,Seattle Seahawks,0,0,0
Khristian Boyd,New Orleans Saints,0,0,0
Kris Boyd,Houston Texans,0,0,0
Beau Brade,Baltimore Ravens,0,0,0
Chris Braswell,Tampa Bay Buccaneers,0,0,0
Christian Braswell,Jacksonville Jaguars,0,0,0
Julius Brents,Indianapolis Colts,0,0,0
C.J. Brewer,Tampa Bay Buccaneers,0,0,0
K.J. Britt,Tampa Bay Buccaneers,0,0,0
British Brooks,Houston Texans,0,0,0
Chris Brooks,Green Bay Packers,0,0,0
Jalen Brooks,Dallas Cowboys,0,0,0
Jordyn Brooks,Miami Dolphins,0,0,0
Natrone Brooks,Atlanta Falcons,0,0,0
Derrick Brown,Carolina Panthers,0,0,0
Evan Brown,Arizona Cardinals,0,0,0
Ji'Ayir Brown,San Francisco 49ers,0,0,0
Mike Brown,Tennessee Titans,0,0,0
Montaric Brown,Jacksonville Jaguars,0,0,0
Pharaoh Brown,Seattle Seahawks,0,0,0
Tre Brown,Seattle Seahawks,0,0,0
Bobby Brown III,Los Angeles Rams,0,0,0
Baron Browning,Arizona Cardinals,0,0,0
Jarvis Brownlee Jr.,Tennessee Titans,0,0,0
Taven Bryan,Indianapolis Colts,0,1,0
Coby Bryant,Seattle Seahawks,0,0,0
Harrison Bryant,Las Vegas Raiders,0,0,0
Myles Bryant,Houston Texans,0,0,0
DeForest Buckner,Indianapolis Colts,0,0,0
