Player,Team,FF,FR,FR TD
Dallin Holker,New Orleans Saints,0,0,0
Mack Hollins,Buffalo Bills,0,1,0
Ka'dar Hollman,Baltimore Ravens,0,0,0
Darnay Holmes,Las Vegas Raiders,0,0,0
Jalyn Holmes,Washington Commanders,0,0,0
Travis Homer,Chicago Bears,0,0,0
Malik Hooker,Dallas Cowboys,0,0,0
Austin Hooper,New England Patriots,0,0,0
DeAndre Hopkins,Kansas City Chiefs,0,0,0
Ty'Ron Hopper,Green Bay Packers,0,0,0
Jaycee Horn,Carolina Panthers,0,0,0
Dylan Horton,Houston Texans,0,0,0
James Houston,Detroit Lions,0,0,0
Jordan Howden,New Orleans Saints,0,0,0
Khaleke Hudson,New Orleans Saints,0,0,0
Tanner Hudson,Cincinnati Bengals,0,0,0
Talanoa Hufanga,San Francisco 49ers,0,0,0
Bryce Huff,Philadelphia Eagles,0,0,0
Jerry Hughes,Houston Texans,0,0,0
Mike Hughes,Atlanta Falcons,0,0,0
Charley Hughlett,Cleveland Browns,0,0,0
Jacob Hummel,Los Angeles Rams,0,0,0
Lil'Jordan Humphrey,Denver Broncos,0,0,0
Marlon Humphrey,Baltimore Ravens,0,0,0
Robert Hunt,Carolina Panthers,0,0,0
Maurice Hurst,Cleveland Browns,0,0,0
Jalen Hurts,Philadelphia Eagles,0,0,0
Xavier Hutchinson,Houston Texans,0,0,0
Jalin Hyatt,New York Giants,0,0,0
Noah Igbinoghene,Washington Commanders,0,0,0
Thomas Incoom,Carolina Panthers,0,0,0
Alec Ingold,Miami Dolphins,0,0,0
Ja'Marcus Ingram,Buffalo Bills,0,0,0
Keaontay Ingram,Kansas City Chiefs,0,0,0
Bucky Irving,Tampa Bay Buccaneers,0,0,0
Adisa Isaac,Baltimore Ravens,0,0,0
D.J. Ivey,Cincinnati Bengals,0,0,0
Mike Jackson,Carolina Panthers,0,0,0
Adoree' Jackson,New York Giants,0,0,0
Brennan Jackson,Los Angeles Rams,0,0,0
Dane Jackson,Carolina Panthers,0,0,0
D'Marco Jackson,New Orleans Saints,0,0,0
Donte Jackson,Pittsburgh Steelers,0,0,0
Eddie Jackson,Baltimore Ravens,0,0,0
Jordan Jackson,Denver Broncos,0,0,0
Lamar Jackson,Baltimore Ravens,0,0,0
McKinnley Jackson,Cincinnati Bengals,0,0,0
Theo Jackson,Minnesota Vikings,0,0,0
Curtis Jacobs,New England Patriots,0,0,0
Derwin James,Los Angeles Chargers,0,0,0
Grady Jarrett,Atlanta Falcons,0,0,0
Javontae Jean-Baptiste,Washington Commanders,0,0,0
Shemar Jean-Charles,New Orleans Saints,0,0,0
Jordan Jefferson,Jacksonville Jaguars,0,0,0
Quinton Jefferson,Cleveland Browns,0,0,0
Elgton Jenkins,Green Bay Packers,0,0,0
John Jenkins,Las Vegas Raiders,0,0,0
Kris Jenkins,Cincinnati Bengals,0,0,0
Rayshawn Jenkins,Seattle Seahawks,0,1,1
Teven Jenkins,Chicago Bears,0,0,0
Anfernee Jennings,New England Patriots,0,0,0
Josey Jewell,Carolina Panthers,0,1,0
Josh Jobe,Seattle Seahawks,0,0,0
Diontae Johnson,Carolina Panthers,0,0,0
Ty Johnson,Buffalo Bills,0,0,0
Lonnie Johnson,Carolina Panthers,0,0,0
Antonio Johnson,Jacksonville Jaguars,0,0,0
Austin Johnson,Buffalo Bills,0,0,0
Buddy Johnson,Dallas Cowboys,0,0,0
Caleb Johnson,Jacksonville Jaguars,0,0,0
Cedric Johnson,Cincinnati Bengals,0,0,0
Collin Johnson,Chicago Bears,0,0,0
D'Ernest Johnson,Jacksonville Jaguars,0,0,0
Desjuan Johnson,Los Angeles Rams,0,0,0
DJ Johnson,Carolina Panthers,0,0,0
Eric Johnson,New England Patriots,0,0,0
Jakob Johnson,New York Giants,0,0,0
Jaylon Johnson,Chicago Bears,0,0,0
John Johnson,Los Angeles Rams,0,0,0
Nazeeh Johnson,Kansas City Chiefs,0,0,0
Patrick Johnson,New York Giants,0,0,0
Roschon Johnson,Chicago Bears,0,0,0
Jermaine Johnson II,New York Jets,0,0,0
Kingsley Jonathan,Buffalo Bills,0,0,0
Aaron Jones,Minnesota Vikings,0,0,0
Benito Jones,Miami Dolphins,0,0,0
Broderick Jones,Pittsburgh Steelers,0,0,0
Cam Jones,Kansas City Chiefs,0,0,0
DaQuan Jones,Buffalo Bills,0,0,0
D.J. Jones,Denver Broncos,0,0,0
Ernest Jones,Seattle Seahawks,0,0,0
Jack Jones,Las Vegas Raiders,0,0,0
Jarrian Jones,Jacksonville Jaguars,0,0,0
Jaylon Jones,Chicago Bears,0,0,0
Justin Jones,Arizona Cardinals,0,1,0
Vi Jones,Tampa Bay Buccaneers,0,0,0
Marcus Jones,New England Patriots,0,1,0
Naquan Jones,Arizona Cardinals,0,0,0
Travis Jones,Baltimore Ravens,0,0,0
Andre Jones Jr.,Washington Commanders,0,0,0
Cameron Jordan,New Orleans Saints,0,0,0
Mike Jordan,New England Patriots,0,0,0
Brandon Joseph,Detroit Lions,0,0,0
Kelvin Joseph,Indianapolis Colts,0,0,0
Kerby Joseph,Detroit Lions,0,0,0
Sebastian Joseph-Day,Tennessee Titans,0,0,0
Matthew Judon,Atlanta Falcons,0,0,0
Mohamed Kamara,Miami Dolphins,0,0,0
Sam Kamara,Cleveland Browns,0,0,0
Calijah Kancey,Tampa Bay Buccaneers,0,0,0
Sanoussi Kane,Baltimore Ravens,0,0,0
George Karlaftis,Kansas City Chiefs,0,0,0
Damontae Kazee,Pittsburgh Steelers,0,0,0
Devon Key,Denver Broncos,0,0,0
Ko Kieft,Tampa Bay Buccaneers,0,0,0
Miles Killebrew,Pittsburgh Steelers,0,0,0
Kamren Kinchens,Los Angeles Rams,0,0,0
Kevin King,Atlanta Falcons,0,0,0
Javon Kinlaw,New York Jets,0,0,0
Christian Kirk,Jacksonville Jaguars,0,0,0
George Kittle,San Francisco 49ers,0,0,0
Marshawn Kneeland,Dallas Cowboys,0,0,0
Tyrice Knight,Seattle Seahawks,0,0,0
Kader Kohou,Miami Dolphins,0,1,0
Charlie Kolar,Baltimore Ravens,0,0,0
Younghoe Koo,Atlanta Falcons,0,0,0
Tucker Kraft,Green Bay Packers,0,0,0
Casey Kreiter,New York Giants,0,0,0
Christian Kuntz,Pittsburgh Steelers,0,0,0
Tyler Lacy,Jacksonville Jaguars,0,0,0
Quentin Lake,Los Angeles Rams,0,0,0
CeeDee Lamb,Dallas Cowboys,0,0,0
Isaiah Land,Indianapolis Colts,0,0,0
Harold Landry,Tennessee Titans,0,0,0
Kamari Lassiter,Houston Texans,0,0,0
Marshon Lattimore,New Orleans Saints,0,0,0
Dylan Laube,Las Vegas Raiders,0,0,0
Jonah Laulu,Las Vegas Raiders,0,0,0
Dexter Lawrence,New York Giants,0,0,0
Trevor Lawrence,Jacksonville Jaguars,0,0,0
Allen Lazard,New York Jets,0,0,0
DeMarvin Leal,Pittsburgh Steelers,0,0,0
Jeremiah Ledbetter,Jacksonville Jaguars,0,0,0
Xavier Legette,Carolina Panthers,0,0,0
Deane Leonard,Los Angeles Chargers,0,0,0
Eku Leota,Carolina Panthers,0,0,0
Cam Lewis,Buffalo Bills,0,0,0
Damien Lewis,Carolina Panthers,0,0,0
Jourdan Lewis,Dallas Cowboys,0,1,0
Tyquan Lewis,Indianapolis Colts,0,0,0
Isaiah Likely,Baltimore Ravens,0,0,0
Beaux Limmer,Los Angeles Rams,0,0,0
Chris Lindstrom,Atlanta Falcons,0,0,0
Marist Liufau,Dallas Cowboys,0,0,0
P.J. Locke,Denver Broncos,0,0,0
Zion Logue,Atlanta Falcons,0,0,0
David Long,Indianapolis Colts,0,0,0
Hunter Long,Los Angeles Rams,0,0,0
Isaiahh Loudermilk,Pittsburgh Steelers,0,0,0
Dean Lowry,Pittsburgh Steelers,0,0,0
Hunter Luepke,Dallas Cowboys,0,0,0
James Lynch,Tennessee Titans,0,0,0
Avonte Maddox,Philadelphia Eagles,0,0,0
Nnamdi Madubuike,Baltimore Ravens,0,0,0
Jordan Magee,Washington Commanders,0,0,0
Jaylen Mahoney,San Francisco 49ers,0,0,0
Jordan Mailata,Philadelphia Eagles,0,0,0
DeAngelo Malone,Atlanta Falcons,0,0,0
Chris Manhertz,New York Giants,0,0,0
Jacob Martin,Chicago Bears,0,0,0
Quan Martin,Washington Commanders,0,0,0
Luke Masterson,Las Vegas Raiders,0,0,0
Tyler Matakevich,Pittsburgh Steelers,0,0,0
Damarri Mathis,Denver Broncos,0,0,0
Phidarian Mathis,Washington Commanders,0,0,0
Ross Matiscik,Jacksonville Jaguars,0,0,0
Scott Matlock,Los Angeles Chargers,0,0,0
Jordan Matthews,Carolina Panthers,0,0,0
Alexander Mattison,Las Vegas Raiders,0,0,0
Kana'i Mauga,Las Vegas Raiders,0,0,0
Arthur Maulet,Baltimore Ravens,0,0,0
Drake Maye,New England Patriots,0,0,0
Marcus Maye,Miami Dolphins,0,0,0
Tyreik McAllister,Las Vegas Raiders,0,0,0
Tanner McCalister,Denver Broncos,0,0,0
Nick McCloud,New York Giants,0,0,0
Jaylen McCollough,Los Angeles Rams,0,0,0
Tristin McCollum,Philadelphia Eagles,0,0,0
Zyon McCollum,Tampa Bay Buccaneers,0,1,0
Mason McCormick,Pittsburgh Steelers,0,0,0
Marcelino McCrary-Ball,New York Jets,0,0,0
Roger McCreary,Tennessee Titans,0,0,0
Isaiah McDuffie,Green Bay Packers,0,0,0
Trent McDuffie,Kansas City Chiefs,0,0,0
T.Y. McGill,San Francisco 49ers,0,0,0
Braiden McGregor,New York Jets,0,0,0
Kenny McIntosh,Seattle Seahawks,0,0,0
Takk McKinley,New York Jets,0,0,0
Xavier McKinney,Green Bay Packers,0,1,0
Kool-Aid McKinstry,New Orleans Saints,0,0,0
Jaleel McLaughlin,Denver Broncos,0,0,0
Terry McLaurin,Washington Commanders,0,0,0
Rodney McLeod Jr.,Cleveland Browns,0,1,1
Raekwon McMillan,New England Patriots,0,0,0
Alim McNeill,Detroit Lions,0,0,0
Jeremy McNichols,Washington Commanders,0,0,0
Quinn Meinerz,Denver Broncos,0,0,0
Bo Melton,Green Bay Packers,0,1,0
Kaevon Merriweather,Tampa Bay Buccaneers,0,0,0
Jakobi Meyers,Las Vegas Raiders,0,0,0
Dante Miller,New York Giants,0,0,0
Kolton Miller,Las Vegas Raiders,0,0,0
Ryan Miller,Tampa Bay Buccaneers,0,0,0
Scott Miller,Pittsburgh Steelers,0,0,0
Von Miller,Buffalo Bills,0,0,0
Jalen Mills,New York Jets,0,0,0
Jordan Mims,New Orleans Saints,0,0,0
Jonathan Mingo,Carolina Panthers,0,0,0
Cameron Mitchell,Cleveland Browns,0,0,0
Quinyon Mitchell,Philadelphia Eagles,0,0,0
Joe Mixon,Houston Texans,0,0,0
Tre'von Moehrig,Las Vegas Raiders,0,0,0
Elijah Molden,Los Angeles Chargers,0,1,0
Jarius Monroe,New York Jets,0,0,0
Jeremiah Moon,Pittsburgh Steelers,0,0,0
David Moore,Carolina Panthers,0,0,0
DJ Moore,Chicago Bears,0,0,0
Elijah Moore,Cleveland Browns,0,0,0
Kenny Moore II,Indianapolis Colts,0,1,1
Tarvarius Moore,Chicago Bears,0,0,0
Mike Morris,Seattle Seahawks,0,0,0
Quintin Morris,Buffalo Bills,0,0,0
Wanya Morris,Kansas City Chiefs,0,0,0
Nicholas Morrow,Buffalo Bills,0,0,0
Arron Mosby,Green Bay Packers,0,0,0
C.J. Mosley,New York Jets,0,0,0
Zack Moss,Cincinnati Bengals,0,0,0
Darius Muasau,New York Giants,0,0,0
Israel Mukuamu,Dallas Cowboys,0,0,0
Chad Muma,Jacksonville Jaguars,0,0,0
Caleb Murphy,Los Angeles Chargers,0,0,0
Myles Murphy,Cincinnati Bengals,0,0,0
Byron Murphy II,Seattle Seahawks,0,0,0
"Kenneth Murray, Jr.",Tennessee Titans,0,0,0
Eric Murray,Houston Texans,0,0,0
Tanner Muse,Jacksonville Jaguars,0,0,0
Malik Mustapha,San Francisco 49ers,0,0,0
Josh Myers,Green Bay Packers,0,0,0
Puka Nacua,Los Angeles Rams,0,0,0
Siran Neal,Miami Dolphins,0,0,0
Nik Needham,Miami Dolphins,0,0,0
Anthony Nelson,Tampa Bay Buccaneers,0,0,0
Greg Newsome II,Cleveland Browns,0,0,0
Jer'Zhan Newton,Washington Commanders,0,1,0
Josh Newton,Cincinnati Bengals,0,0,0
Yannick Ngakoue,Baltimore Ravens,0,0,0
Bilal Nichols,Arizona Cardinals,0,0,0
Ben Niemann,Detroit Lions,0,0,0
Nick Niemann,Los Angeles Chargers,0,0,0
David Njoku,Cleveland Browns,0,0,0
Maema Njongmeta,Cincinnati Bengals,0,0,0
Derrick Nnadi,Kansas City Chiefs,0,0,0
Trevor Nowaske,Detroit Lions,0,0,0
Rakeem Nunez-Roches,New York Giants,0,0,0
Uchenna Nwosu,Seattle Seahawks,0,0,0
Efe Obada,Washington Commanders,0,0,0
Aidan O'Connell,Las Vegas Raiders,0,0,0
Pat O'Connor,Detroit Lions,0,0,0
Osa Odighizuwa,Dallas Cowboys,0,0,0
George Odum,San Francisco 49ers,0,0,0
Rome Odunze,Chicago Bears,0,0,0
Emmanuel Ogbah,Miami Dolphins,0,0,0
Amen Ogbongbemiga,Chicago Bears,0,0,0
Otito Ogbonnia,Los Angeles Chargers,0,0,0
Andrew Ogletree,Indianapolis Colts,0,0,0
Adetokunbo Ogundeji,Pittsburgh Steelers,0,0,0
Larry Ogunjobi,Pittsburgh Steelers,0,0,0
David Ojabo,Baltimore Ravens,0,0,0
Moro Ojomo,Philadelphia Eagles,0,0,0
Azeez Ojulari,New York Giants,0,1,0
Ty Okada,Seattle Seahawks,0,0,0
Chig Okonkwo,Tennessee Titans,0,0,0
Ogbo Okoronkwo,Cleveland Browns,0,0,0
Julian Okwara,Arizona Cardinals,0,0,0
Kitan Oladapo,Green Bay Packers,0,0,0
Chris Olave,New Orleans Saints,0,0,0
Bryce Oliver,Tennessee Titans,0,0,0
Isaiah Oliver,New York Jets,0,0,0
Josh Oliver,Minnesota Vikings,0,0,0
Foye Oluokun,Jacksonville Jaguars,0,0,0
David Onyemata,Atlanta Falcons,0,0,0
Ruke Orhorhoro,Atlanta Falcons,0,0,0
Anfernee Orji,New Orleans Saints,0,0,0
Amani Oruwariye,Dallas Cowboys,0,0,0
Matthew Orzech,Green Bay Packers,0,0,0
Joseph Ossai,Cincinnati Bengals,0,0,0
Esezi Otomewo,Jacksonville Jaguars,0,0,0
Cade Otton,Tampa Bay Buccaneers,0,0,0
Jonathan Owens,Chicago Bears,0,0,0
Tyler Owens,Washington Commanders,0,0,0
Ivan Pace Jr.,Minnesota Vikings,0,1,1
Dylan Parham,Las Vegas Raiders,0,0,0
Micah Parsons,Dallas Cowboys,0,0,0
Joshua Paschal,Detroit Lions,0,0,0
Kwity Paye,Indianapolis Colts,0,0,0
Daron Payne,Washington Commanders,0,0,0
Rico Payton,New Orleans Saints,0,0,0
Kyle Peko,Detroit Lions,0,0,0
Jabrill Peppers,New England Patriots,0,0,0
Samaje Perine,Kansas City Chiefs,0,0,0
Denzel Perryman,Los Angeles Chargers,0,0,0
Dell Pettus,New England Patriots,0,0,0
Jeremiah Pharms,New England Patriots,0,0,0
Del'Shawn Phillips,Houston Texans,0,0,0
Jaelan Phillips,Miami Dolphins,0,0,0
Jordan Phillips,Dallas Cowboys,0,0,0
Clark Phillips III,Atlanta Falcons,0,0,0
Zacch Pickens,Chicago Bears,0,0,0
Alec Pierce,Indianapolis Colts,0,0,0
Dameon Pierce,Houston Texans,0,0,0
Michael Pierce,Baltimore Ravens,0,0,0
Brandon Pili,Miami Dolphins,0,0,0
Bradley Pinion,Atlanta Falcons,0,0,0
Jason Pinnock,New York Giants,0,0,0
Jalen Pitre,Houston Texans,0,0,0
Michael Pittman,Indianapolis Colts,0,0,0
Isaiah Pola-Mao,Las Vegas Raiders,0,0,0
Joey Porter Jr.,Pittsburgh Steelers,0,0,0
Jackson Powers-Johnson,Las Vegas Raiders,0,0,0
Jordan Poyer,Miami Dolphins,0,0,0
Adam Prentice,New Orleans Saints,0,0,0
Dak Prescott,Dallas Cowboys,0,0,0
Bobby Price,Washington Commanders,0,0,0
Deantre Prince,Jacksonville Jaguars,0,0,0
Nehemiah Pritchett,Seattle Seahawks,0,0,0
James Proche,Cleveland Browns,0,0,0
MyCole Pruitt,Pittsburgh Steelers,0,0,0
Dominick Puni,San Francisco 49ers,0,0,0
Brock Purdy,San Francisco 49ers,0,0,0
Shaquille Quarterman,Carolina Panthers,0,0,0
Patrick Queen,Pittsburgh Steelers,0,0,0
Dillon Radunz,Tennessee Titans,0,0,0
Bernhard Raimann,Indianapolis Colts,0,0,0
Ennis Rakestraw Jr.,Detroit Lions,0,0,0
Jalen Ramsey,Miami Dolphins,0,0,0
Sheldon Rankins,Cincinnati Bengals,0,0,0
Taylor Rapp,Buffalo Bills,0,0,0
LaBryan Ray,Carolina Panthers,0,0,0
D.J. Reader,Detroit Lions,0,0,0
Haason Reddick,New York Jets,0,0,0
Jalen Redmond,Minnesota Vikings,0,0,0
D.J. Reed,New York Jets,0,0,0
Jarran Reed,Seattle Seahawks,0,0,0
Troy Reeder,Los Angeles Rams,0,0,0
Jerrick Reed II,Seattle Seahawks,0,0,0
Otis Reese,Tennessee Titans,0,0,0
Justin Reid,Kansas City Chiefs,0,0,0
Winston Reid,Cleveland Browns,0,0,0
Jon Rhattigan,Carolina Panthers,0,0,0
Sean Rhyan,Green Bay Packers,0,0,0
Patrick Ricard,Baltimore Ravens,0,0,0
Decamerion Richardson,Las Vegas Raiders,0,0,0
Demani Richardson,Carolina Panthers,0,0,0
Bo Richter,Minnesota Vikings,0,0,0
Eli Ricks,Philadelphia Eagles,0,0,0
John Ridgeway,New Orleans Saints,0,0,0
Calvin Ridley,Tennessee Titans,0,0,0
Duke Riley,Miami Dolphins,0,0,0
Jordon Riley,New York Giants,0,0,0
Kelee Ringo,Philadelphia Eagles,0,1,0
Ronnie Rivers,Los Angeles Rams,0,0,0
Malcolm Roach,Denver Broncos,0,0,0
Roy Robertson-Harris,Seattle Seahawks,0,0,0
A'Shawn Robinson,Carolina Panthers,0,0,0
Bijan Robinson,Atlanta Falcons,0,0,0
Chop Robinson,Miami Dolphins,0,0,0
Curtis Robinson,San Francisco 49ers,0,0,0
Dominique Robinson,Chicago Bears,0,0,0
Jammie Robinson,Carolina Panthers,0,0,0
Janarius Robinson,Las Vegas Raiders,0,0,0
Mark Robinson,Pittsburgh Steelers,0,0,0
Tavius Robinson,Baltimore Ravens,0,0,0
Robert Rochell,Green Bay Packers,0,0,0
Isaiah Rodgers,Philadelphia Eagles,0,0,0
Malcolm Rodriguez,Detroit Lions,0,1,0
Christian Roland-Wallace,Kansas City Chiefs,0,0,0
Roger Rosengarten,Baltimore Ravens,0,0,0
D'Angelo Ross,Houston Texans,0,0,0
Josh Ross,Seattle Seahawks,0,0,0
Jaquelin Roy,New England Patriots,0,0,0
Christian Rozeboom,Los Angeles Rams,0,0,0
Jeremy Ruckert,New York Jets,0,0,0
Brady Russell,Seattle Seahawks,0,0,0
J.J. Russell,Tampa Bay Buccaneers,0,1,0
Mike Sainristil,Washington Commanders,0,0,0
Curtis Samuel,Buffalo Bills,0,0,0
Deebo Samuel Sr.,San Francisco 49ers,0,0,0
Asante Samuel Jr.,Los Angeles Chargers,0,0,0
Jack Sanborn,Chicago Bears,0,0,0
Miles Sanders,Carolina Panthers,0,0,0
Eric Saubert,San Francisco 49ers,0,0,0
Khalen Saunders,New Orleans Saints,0,0,0
Darnell Savage,Jacksonville Jaguars,0,0,0
Brenden Schooler,New England Patriots,0,0,0
Nick Scott,Carolina Panthers,0,0,0
Trey Sermon,Indianapolis Colts,0,0,0
Tim Settle,Houston Texans,0,0,0
Isaac Seumalo,Pittsburgh Steelers,0,0,0
Kevon Seymour,Washington Commanders,0,0,0
Rashid Shaheed,New Orleans Saints,0,0,0
Kendall Sheffield,New York Jets,0,0,0
Duke Shelley,New York Giants,0,0,0
Laviska Shenault Jr.,Seattle Seahawks,0,0,0
John Shenker,Las Vegas Raiders,0,0,0
Nathan Shepherd,New Orleans Saints,0,0,0
Trent Sherfield,Minnesota Vikings,0,0,0
Jamien Sherwood,New York Jets,0,0,0
Will Shipley,Philadelphia Eagles,0,0,0
Trent Sieg,Dallas Cowboys,0,0,0
Zach Sieler,Miami Dolphins,0,1,0
Nesta Jade Silvera,San Francisco 49ers,0,0,0
Isaiah Simmons,New York Giants,0,0,0
Justin Simmons,Atlanta Falcons,0,0,0
Trenton Simpson,Baltimore Ravens,0,1,0
Devin Singletary,New York Giants,0,0,0
Alex Singleton,Denver Broncos,0,0,0
Ben Sinnott,Washington Commanders,0,0,0
JL Skinner,Denver Broncos,0,1,0
Ben Skowronek,Pittsburgh Steelers,0,0,0
Tedarrell Slaton,Green Bay Packers,0,0,0
Stone Smartt,Los Angeles Chargers,0,0,0
Cam Smith,Miami Dolphins,0,0,0
Chris Smith,Detroit Lions,0,0,0
DeVonta Smith,Philadelphia Eagles,0,0,0
Harrison Smith,Minnesota Vikings,0,1,0
Jonnu Smith,Miami Dolphins,0,0,0
Keidron Smith,Denver Broncos,0,0,0
Maason Smith,Jacksonville Jaguars,0,0,0
Mazi Smith,Dallas Cowboys,0,0,0
Nolan Smith,Philadelphia Eagles,0,0,0
Preston Smith,Green Bay Packers,0,0,0
Terell Smith,Chicago Bears,0,0,0
T.J. Smith,Carolina Panthers,0,0,0
Tremon Smith,Denver Broncos,0,0,0
Trey Smith,Kansas City Chiefs,0,0,0
Xavier Smith,Los Angeles Rams,0,0,0
Za'Darius Smith,Cleveland Browns,0,0,0
Chris Smith II,Las Vegas Raiders,0,0,0
Jaxon Smith-Njigba,Seattle Seahawks,0,0,0
Chau Smith-Wade,Carolina Panthers,0,0,0
James Smith-Williams,Atlanta Falcons,0,0,0
L'Jarius Sneed,Tennessee Titans,0,0,0
Charles Snowden,Las Vegas Raiders,0,0,0
Tyjae Spears,Tennessee Titans,0,0,0
Baylon Spector,Buffalo Bills,0,1,0
E.J. Speed,Indianapolis Colts,0,0,0
Omar Speights,Los Angeles Rams,0,0,0
Robert Spillane,Las Vegas Raiders,0,0,0
Isaiah Stalbird,New Orleans Saints,0,0,0
Amon-Ra St. Brown,Detroit Lions,0,0,0
Brandon Stephens,Baltimore Ravens,0,0,0
Tyrique Stevenson,Chicago Bears,0,0,0
M.J. Stewart,Houston Texans,0,1,0
Qwan'tez Stiggers,New York Jets,0,0,0
Tarheeb Still,Los Angeles Chargers,0,0,0
Ben Stille,Arizona Cardinals,0,1,0
Derek Stingley Jr.,Houston Texans,0,0,0
Eric Stokes,Green Bay Packers,0,0,0
Jack Stoll,Philadelphia Eagles,0,0,0
Geno Stone,Cincinnati Bengals,0,0,0
Cade Stover,Houston Texans,0,0,0
Kentavius Street,Atlanta Falcons,0,0,0
Justin Strnad,Denver Broncos,0,0,0
Greg Stroman,New York Giants,0,0,0
Pierre Strong,Cleveland Browns,0,0,0
Grant Stuard,Indianapolis Colts,0,0,0
Ty Summers,New York Giants,0,0,0
Rex Sunahara,Cleveland Browns,0,0,0
Chazz Surratt,New York Jets,0,0,0
Pat Surtain II,Denver Broncos,0,0,0
Courtland Sutton,Denver Broncos,0,0,0
Geoff Swaim,Cleveland Browns,0,0,0
Josh Sweat,Philadelphia Eagles,0,0,0
T'Vondre Sweat,Tennessee Titans,0,0,0
Taki Taimani,Minnesota Vikings,0,0,0
Sione Takitaki,New England Patriots,0,0,0
T.J. Tampa,Baltimore Ravens,0,0,0
Teair Tart,Los Angeles Chargers,0,1,0
Jahlani Tavai,New England Patriots,0,0,0
Ja'Sir Taylor,Los Angeles Chargers,0,1,0
Jawaan Taylor,Kansas City Chiefs,0,0,0
Patrick Taylor,San Francisco 49ers,0,0,0
Cam Taylor-Britt,Cincinnati Bengals,0,0,0
Leonard Taylor III,New York Jets,0,0,0
Dadrion Taylor-Demerson,Arizona Cardinals,0,0,0
A.J. Terrell,Atlanta Falcons,0,0,0
Kayvon Thibodeaux,New York Giants,0,0,0
Adam Thielen,Carolina Panthers,0,0,0
Daniel Thomas,Jacksonville Jaguars,0,1,0
Drake Thomas,Seattle Seahawks,0,0,0
Isaiah Thomas,Detroit Lions,0,1,0
Rodney Thomas,Indianapolis Colts,0,0,0
Tavierre Thomas,Tampa Bay Buccaneers,0,0,0
Xavier Thomas,Arizona Cardinals,0,0,0
Brian Thomas Jr.,Jacksonville Jaguars,0,0,0
Juan Thornhill,Cleveland Browns,0,0,0
Jalen Thompson,Arizona Cardinals,0,1,0
Joe Thuney,Kansas City Chiefs,0,0,0
Nick Thurman,Carolina Panthers,0,0,0
Jerry Tillery,Minnesota Vikings,0,0,0
Dondrea Tillman,Denver Broncos,0,0,0
Dalvin Tomlinson,Cleveland Browns,0,0,0
Khyiris Tonga,Arizona Cardinals,0,0,0
Jake Tonges,San Francisco 49ers,0,0,0
Casey Toohill,Buffalo Bills,0,1,0
Henry To'oTo'o,Houston Texans,0,0,0
Drue Tranquill,Kansas City Chiefs,0,1,0
Brycen Tremayne,Washington Commanders,0,0,0
Cory Trice Jr.,Pittsburgh Steelers,0,0,0
Jeremiah Trotter Jr.,Philadelphia Eagles,0,0,0
Sean Tucker,Tampa Bay Buccaneers,0,0,0
Tre Tucker,Las Vegas Raiders,0,0,0
Jay Tufele,Cincinnati Bengals,0,0,0
Josh Tupou,Baltimore Ravens,0,0,0
Dallas Turner,Minnesota Vikings,0,0,0
DJ Turner,Las Vegas Raiders,0,0,0
DJ Turner II,Cincinnati Bengals,0,0,0
KaVontae Turpin,Dallas Cowboys,0,0,0
Joshua Uche,Kansas City Chiefs,0,0,0
Isaac Ukwu,Detroit Lions,0,0,0
Brent Urban,Baltimore Ravens,0,0,0
Eyioma Uwazurike,Denver Broncos,0,0,0
Carrington Valentine,Green Bay Packers,0,0,0
Lukas Van Ness,Green Bay Packers,0,1,0
Ben VanSumeren,Philadelphia Eagles,0,0,0
Vita Vea,Tampa Bay Buccaneers,0,0,0
Kendal Vickers,New Orleans Saints,0,0,0
Nick Vigil,Dallas Cowboys,0,0,0
Kindle Vildor,Detroit Lions,0,0,0
Jaylen Waddle,Miami Dolphins,0,0,0
Anthony Walker,Miami Dolphins,0,0,0
DeMarcus Walker,Chicago Bears,0,0,0
Devontez Walker,Baltimore Ravens,0,0,0
Mykal Walker,Washington Commanders,0,0,0
Quay Walker,Green Bay Packers,0,0,0
Kenneth Walker III,Seattle Seahawks,0,0,0
Josh Wallace,Los Angeles Rams,0,0,0
Levi Wallace,Denver Broncos,0,0,0
Tylan Wallace,Baltimore Ravens,0,0,0
Charvarius Ward,San Francisco 49ers,0,0,0
Denzel Ward,Cleveland Browns,0,0,0
Jay Ward,Minnesota Vikings,0,0,0
Jihad Ward,Minnesota Vikings,0,1,0
Jimmie Ward,Houston Texans,0,0,0
Jonathan Ward,Pittsburgh Steelers,0,0,0
Ar'Darius Washington,Baltimore Ravens,0,0,0
Broderick Washington,Baltimore Ravens,0,0,0
Malik Washington,Miami Dolphins,0,0,0
Carlos Watkins,Dallas Cowboys,0,0,0
Christian Watson,Green Bay Packers,0,0,0
Jaylen Watson,Kansas City Chiefs,0,0,0
Armon Watts,New York Giants,0,0,0
Nathaniel Watson,Cleveland Browns,0,0,0
Luke Wattenberg,Denver Broncos,0,0,0
Eric Watts,New York Jets,0,0,0
Sam Webb,Las Vegas Raiders,0,0,0
Kristian Welch,Baltimore Ravens,0,0,0
Pete Werner,New Orleans Saints,0,0,0
Nick Westbrook-Ikhine,Tennessee Titans,0,0,0
Tyrus Wheat,Dallas Cowboys,0,0,0
Cody White,Seattle Seahawks,0,0,0
