Player,Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Braxton Berrios,Miami Dolphins,25.3,3,76,0,2,0,31,0,0
Aaron Shampklin,Pittsburgh Steelers,25.2,4,101,0,3,0,32,0,0
Raheem Blackshear,Carolina Panthers,25.2,28,705,0,24,1,43,0,1
Noah Igbinoghene,Washington Commanders,25.0,1,25,0,1,0,25,0,0
Jaelon Darden,Cleveland Browns,24.8,5,124,0,5,0,28,0,0
Kenneth Gainwell,Philadelphia Eagles,24.6,10,246,0,8,0,34,0,0
Deonte Harty,Baltimore Ravens,24.5,4,98,0,4,0,31,0,0
Tyreik McAllister,Las Vegas Raiders,24.5,2,49,0,2,0,28,0,0
Parker Washington,Jacksonville Jaguars,24.4,5,122,0,5,0,30,0,1
JaMycal Hasty,New England Patriots,23.8,9,214,0,7,0,30,0,0
Jermaine Jackson,New Orleans Saints,23.4,8,187,0,6,0,32,0,0
D'Onta Foreman,Cleveland Browns,23.2,5,116,0,4,0,29,0,0
Pierre Strong,Cleveland Browns,23.2,11,255,0,9,0,27,0,0
Ronnie Bell,San Francisco 49ers,23.0,1,23,0,1,0,23,0,0
John Kelly,Baltimore Ravens,23.0,2,46,0,2,0,24,0,0
Raheem Mostert,Miami Dolphins,23.0,1,23,0,1,0,23,0,0
Trey Sermon,Indianapolis Colts,23.0,1,23,0,1,0,23,0,0
Deven Thompkins,Carolina Panthers,23.0,2,46,0,1,0,29,0,0
Jaylen Warren,Pittsburgh Steelers,22.7,6,136,0,4,0,35,0,0
Devin Duvernay,Jacksonville Jaguars,22.6,10,226,0,8,0,29,0,0
Jeremy McNichols,Washington Commanders,22.6,5,113,0,5,0,23,0,0
Chris Collier,Baltimore Ravens,22.1,10,221,0,7,0,35,0,0
Josh Blackwell,Chicago Bears,22.0,1,22,0,1,0,22,0,0
Jalen Reagor,Los Angeles Chargers,22.0,1,22,0,1,0,22,0,0
Tim Jones,Jacksonville Jaguars,21.5,2,43,0,2,0,23,0,0
Skyy Moore,Kansas City Chiefs,21.5,2,43,0,1,0,28,0,0
Kendric Pryor,Cincinnati Bengals,21.5,2,43,0,1,0,24,0,0
Emari Demercado,Arizona Cardinals,21.3,3,64,0,2,0,26,0,0
Corey Ballentine,Green Bay Packers,21.0,1,21,0,1,0,21,0,0
Treylon Burks,Tennessee Titans,21.0,1,21,0,1,0,21,0,0
Cody Thompson,Tampa Bay Buccaneers,21.0,1,21,0,1,0,21,0,0
Mason Tipton,New Orleans Saints,21.0,1,21,0,1,0,21,0,0
Ray Davis,Buffalo Bills,20.5,6,123,0,4,0,26,0,0
Tyrone Tracy Jr.,New York Giants,20.3,3,61,0,2,0,28,0,1
Myles Gaskin,Jacksonville Jaguars,20.0,3,60,0,1,0,26,0,0
Trayveon Williams,Cincinnati Bengals,19.4,5,97,0,3,0,23,0,0
Cordarrelle Patterson,Pittsburgh Steelers,19.3,6,116,0,3,0,25,0,0
Rakim Jarrett,Tampa Bay Buccaneers,19.0,3,57,0,2,0,23,0,0
Jordan Mims,New Orleans Saints,19.0,1,19,0,0,0,19,0,0
Gary Brightwell,Cincinnati Bengals,18.0,2,36,0,1,0,24,0,0
Kenny McIntosh,Seattle Seahawks,17.5,2,35,0,1,0,20,0,0
Keilan Robinson,Jacksonville Jaguars,17.0,2,34,0,1,0,20,0,0
Jordan Mason,San Francisco 49ers,14.5,2,29,0,1,0,29,0,0
Trey Palmer,Tampa Bay Buccaneers,14.0,1,14,0,0,0,14,0,0
Miles Sanders,Carolina Panthers,14.0,1,14,0,0,0,14,0,0
Montrell Washington,Kansas City Chiefs,14.0,1,14,0,0,0,14,0,0
Dare Ogunbowale,Houston Texans,12.0,1,12,0,0,0,12,0,0
Minkah Fitzpatrick,Pittsburgh Steelers,7.0,1,7,0,0,0,7,0,0
Velus Jones Jr.,Carolina Panthers,0.0,1,0,0,0,0,0,0,1
